Location,Account,Campaign,Platform
"92105, California, United States",CGDR,Nationwide (CA),GOOGLE
"94903, California, United States",CGDR,Nationwide (CA),GOOGLE
"94964, California, United States",CGDR,Nationwide (CA),GOOGLE
"90013, California, United States",CGDR,Nationwide (CA),GOOGLE
"94612, California, United States",CGDR,Nationwide (CA),GOOGLE
"95693, California, United States",CGDR,Nationwide (CA),GOOGLE
"95670, California, United States",CGDR,Nationwide (CA),GOOGLE
"94710, California, United States",CGDR,Nationwide (CA),GOOGLE
"92518, California, United States",CGDR,Nationwide (CA),GOOGLE
"94705, California, United States",CGDR,Nationwide (CA),GOOGLE
"91436, California, United States",CGDR,Nationwide (CA),GOOGLE
"92620, California, United States",CGDR,Nationwide (CA),GOOGLE
"94578, California, United States",CGDR,Nationwide (CA),GOOGLE
"95130, California, United States",CGDR,Nationwide (CA),GOOGLE
"92065, California, United States",CGDR,Nationwide (CA),GOOGLE
"92861, California, United States",CGDR,Nationwide (CA),GOOGLE
"94803, California, United States",CGDR,Nationwide (CA),GOOGLE
"93544, California, United States",CGDR,Nationwide (CA),GOOGLE
"94112, California, United States",CGDR,Nationwide (CA),GOOGLE
"91010, California, United States",CGDR,Nationwide (CA),GOOGLE
"94580, California, United States",CGDR,Nationwide (CA),GOOGLE
"92026, California, United States",CGDR,Nationwide (CA),GOOGLE
"92305, California, United States",CGDR,Nationwide (CA),GOOGLE
"92342, California, United States",CGDR,Nationwide (CA),GOOGLE
"93422, California, United States",CGDR,Nationwide (CA),GOOGLE
"95694, California, United States",CGDR,Nationwide (CA),GOOGLE
"94065, California, United States",CGDR,Nationwide (CA),GOOGLE
"94544, California, United States",CGDR,Nationwide (CA),GOOGLE
"91324, California, United States",CGDR,Nationwide (CA),GOOGLE
"90272, California, United States",CGDR,Nationwide (CA),GOOGLE
"94805, California, United States",CGDR,Nationwide (CA),GOOGLE
"92843, California, United States",CGDR,Nationwide (CA),GOOGLE
"95018, California, United States",CGDR,Nationwide (CA),GOOGLE
"93201, California, United States",CGDR,Nationwide (CA),GOOGLE
"95833, California, United States",CGDR,Nationwide (CA),GOOGLE
"95937, California, United States",CGDR,Nationwide (CA),GOOGLE
"95817, California, United States",CGDR,Nationwide (CA),GOOGLE
"90293, California, United States",CGDR,Nationwide (CA),GOOGLE
"92110, California, United States",CGDR,Nationwide (CA),GOOGLE
"92395, California, United States",CGDR,Nationwide (CA),GOOGLE
"91780, California, United States",CGDR,Nationwide (CA),GOOGLE
"95140, California, United States",CGDR,Nationwide (CA),GOOGLE
"95212, California, United States",CGDR,Nationwide (CA),GOOGLE
"92831, California, United States",CGDR,Nationwide (CA),GOOGLE
"95122, California, United States",CGDR,Nationwide (CA),GOOGLE
"94592, California, United States",CGDR,Nationwide (CA),GOOGLE
"95645, California, United States",CGDR,Nationwide (CA),GOOGLE
"92614, California, United States",CGDR,Nationwide (CA),GOOGLE
"95075, California, United States",CGDR,Nationwide (CA),GOOGLE
"95824, California, United States",CGDR,Nationwide (CA),GOOGLE
"92583, California, United States",CGDR,Nationwide (CA),GOOGLE
"92509, California, United States",CGDR,Nationwide (CA),GOOGLE
"92587, California, United States",CGDR,Nationwide (CA),GOOGLE
"92590, California, United States",CGDR,Nationwide (CA),GOOGLE
"91917, California, United States",CGDR,Nationwide (CA),GOOGLE
"94020, California, United States",CGDR,Nationwide (CA),GOOGLE
"90220, California, United States",CGDR,Nationwide (CA),GOOGLE
"94545, California, United States",CGDR,Nationwide (CA),GOOGLE
"93272, California, United States",CGDR,Nationwide (CA),GOOGLE
"91390, California, United States",CGDR,Nationwide (CA),GOOGLE
"92083, California, United States",CGDR,Nationwide (CA),GOOGLE
"90701, California, United States",CGDR,Nationwide (CA),GOOGLE
"92134, California, United States",CGDR,Nationwide (CA),GOOGLE
"93453, California, United States",CGDR,Nationwide (CA),GOOGLE
"95008, California, United States",CGDR,Nationwide (CA),GOOGLE
"92223, California, United States",CGDR,Nationwide (CA),GOOGLE
"90249, California, United States",CGDR,Nationwide (CA),GOOGLE
"95316, California, United States",CGDR,Nationwide (CA),GOOGLE
"93041, California, United States",CGDR,Nationwide (CA),GOOGLE
"94555, California, United States",CGDR,Nationwide (CA),GOOGLE
"92327, California, United States",CGDR,Nationwide (CA),GOOGLE
"90302, California, United States",CGDR,Nationwide (CA),GOOGLE
"92649, California, United States",CGDR,Nationwide (CA),GOOGLE
"95351, California, United States",CGDR,Nationwide (CA),GOOGLE
"95631, California, United States",CGDR,Nationwide (CA),GOOGLE
"91040, California, United States",CGDR,Nationwide (CA),GOOGLE
"94601, California, United States",CGDR,Nationwide (CA),GOOGLE
"94603, California, United States",CGDR,Nationwide (CA),GOOGLE
"90744, California, United States",CGDR,Nationwide (CA),GOOGLE
"93563, California, United States",CGDR,Nationwide (CA),GOOGLE
"90041, California, United States",CGDR,Nationwide (CA),GOOGLE
"90028, California, United States",CGDR,Nationwide (CA),GOOGLE
"93424, California, United States",CGDR,Nationwide (CA),GOOGLE
"95356, California, United States",CGDR,Nationwide (CA),GOOGLE
"91748, California, United States",CGDR,Nationwide (CA),GOOGLE
